# A kereszthivatkozas-naplo gepi alakja. Kulcs: id + igehely. Sema: adat/SEMA.md 2.4
id	igehely	forras_kereses	dontes	indoklas	karoli_szo	azonositas_modja	megbizhatosag	datum
HODIT-001	Jób 26:5	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	רְפָאִים יְחוֹלָלוּ מִתַּחַת לַמָּיִם — "a Refáim reszketnek a vizek alatt" — költői kontextus, halottak birodalma	A halottak	tartalom-alapú	magas	2026.09.10
HODIT-001	Zsolt 88:11	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	הֲרְפָאִים יָקוּמוּ יוֹדוּךָ — "vajon a Refáim fölkelnek-e, hogy dicsérjenek téged?"	az árnyak	tartalom-alapú	magas	2026.09.10
HODIT-001	Péld 2:18	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	רְפָאִים — bölcsességi kontextus: aki eltéved, a "Refáim gyülekezetébe" jut	az élet nélkül valókhoz	tartalom-alapú	magas	2026.09.10
HODIT-001	Péld 9:18	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	élet nélkül valók	tartalom-alapú	magas	2026.09.10
HODIT-001	Péld 21:16	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	az élet nélkül valók	tartalom-alapú	magas	2026.09.10
HODIT-001	Ézs 14:9	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	רְפָאִים... כָּל־עַתּוּדֵי אָרֶץ — Babilon királyát gúnyosan fogadja a Seól, "fölkelti ellene a Refáimot"	árnyait	tartalom-alapú	magas	2026.09.10
HODIT-001	Ézs 26:14	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	רְפָאִים — a halottak feltámadásáról szóló szakasz kontextusában	az árnyak	tartalom-alapú	magas	2026.09.10
HODIT-001	Ézs 26:19	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	az árnyakat	tartalom-alapú	magas	2026.09.10
HODIT-001	2Sám 5:18	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	עֵמֶק רְפָאִים — Refáim völgye, a filiszteusok és Dávid csatáinak színtere	a Réfaim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	2Sám 5:22	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	a Réfaim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	2Sám 23:13	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	a Réfaim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	1Krón 11:15	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua. — párhuzamos hely	a Réfaim völgyben	tartalom-alapú	magas	2026.09.10
HODIT-001	1Krón 14:9	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	ua.	a Réfaim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	Ézs 17:5	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	עֵמֶק רְפָאִים — aratási hasonlat	a Refáim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	Józs 15:8	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	עֵמֶק רְפָאִים — Júda törzsi határának pontosítása	a Refaim völgyének	tartalom-alapú	magas	2026.09.10
HODIT-001	Józs 18:16	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	עֵמֶק רְפָאִים — Benjámin törzsi határának pontosítása	a Refaim völgyében	tartalom-alapú	magas	2026.09.10
HODIT-001	Józs 17:15	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	beépítve	אֶרֶץ הָרְפָאִים — "a Perizzita és a Refáim földje" — Józsué válasza Efraim/Manassé birtok-panaszára	Refaimnak földén	tartalom-alapú	magas	2026.09.10
HODIT-001	1Móz 14:6	study 1. pont táblázata (kontextuális sor)	nyitva	חֹרִים (Hórim) nem a רְפָאִים szócsaládból való — nincs közös gyök H2752 és H7497/H7496 között; a study saját táblázatában szerepel mint "ugyanabban a hadjáratban legyőzött negyedik népcsoport", de a motívum negatív kritériuma (l. adat/motivumok.tsv HODIT-001 sora) kizárja: a rokon népnév önmagában nem elég, lexikai átfedés kell				2026.09.14
HODIT-001	5Móz 2:10	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	elutasítva	a study egy több-verses tartományt (אֵימִים... הֵם רְפָאִים — a Móábiak Émim…) idézett a fenti tartalommal, de a H7497 Strong-szám ebben a konkrét versben nem áll a TAHOT_kivonat.tsv szerint (talált: —) — a lexéma a tartomány másik versében van, az külön elofordulasok-sorként bekerült				2026.09.14
HODIT-001	5Móz 2:21	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	elutasítva	a study egy több-verses tartományt (ua. — folytatás…) idézett a fenti tartalommal, de a H7497 Strong-szám ebben a konkrét versben nem áll a TAHOT_kivonat.tsv szerint (talált: —) — a lexéma a tartomány másik versében van, az külön elofordulasok-sorként bekerült				2026.09.14
HODIT-001	2Sám 21:15	TAHOT_kivonat.tsv visszakeresés (eszkozok/f3_2_betoltes.py), retroaktív F3.2 betöltés	elutasítva	a study egy több-verses tartományt (הָרָפָה / יְלִידֵי הָרָפָה — Góliát és r…) idézett a fenti tartalommal, de a H7497 Strong-szám ebben a konkrét versben nem áll a TAHOT_kivonat.tsv szerint (talált: —) — a lexéma a tartomány másik versében van, az külön elofordulasok-sorként bekerült				2026.09.14
HAMART-001	1Móz 3:14	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר (árúr) — az átok első kimondása, a kígyóra				2026.09.11
HAMART-001	1Móz 3:16	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	עִצְּבוֹנֵךְ (itzevónékh) — a fájdalom az asszonyra				2026.09.11
HAMART-001	1Móz 3:17	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲרוּרָה הָאֲדָמָה בַּעֲבוּרֶךָ (arúrá há'adamá ba'avúrekhá) — nem az ember átkoztatik meg, hanem a föld miatta; a következmény az elkövetőn kívülre lép				2026.09.11
HAMART-001	1Móz 3:18	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	קוֹץ וְדַרְדַּר (kóc vedardar) — tövis és bogáncs mint az átkozott föld terméke				2026.09.11
HAMART-001	1Móz 3:19	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — a föld, amelybe visszatér, és amelyhez kiűzetve odaköttetik				2026.09.11
HAMART-001	1Móz 3:23	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — a föld, amelybe visszatér, és amelyhez kiűzetve odaköttetik				2026.09.11
HAMART-001	1Móz 4:2-3	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — Kain "földmívelő", és a földből hozza áldozatát: az átkozott föld a testvéri konfliktus színtere				2026.09.11
HAMART-001	1Móz 4:7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	חַטָּאת — a "bűn" szó első előfordulása a Szentírásban, nem áldozatként, hanem az ajtóban leselkedő hatalomként				2026.09.11
HAMART-001	1Móz 4:10-11	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר אַתָּה מִן־הָאֲדָמָה (árúr attá min-há'adamá) — fokozás: most már nem a föld, hanem a személy az átok alanya, és éppen a föld felől; ugyanaz a két szó, felcserélt szereposztásban				2026.09.11
HAMART-001	1Móz 4:12	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — a föld megtagadja termőerejét, és Kain elűzetik róla: a 3:17-19 büntetés megismételve, szigorítva				2026.09.11
HAMART-001	1Móz 4:14	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — a föld megtagadja termőerejét, és Kain elűzetik róla: a 3:17-19 büntetés megismételve, szigorítva				2026.09.11
HAMART-001	1Móz 5:29	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	A lánc forgópontja: Lámek Noé névadásában egyetlen mondatban idézi vissza mindhárom kulcsszót — עִצְּבוֹן (itzevón) + אֲדָמָה (adamá) + אֵרְרָהּ יְהוָה (érerá JHVH, Pi'él) —, és vigasztalást vár alóla				2026.09.11
HAMART-001	1Móz 6:5	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	רָעָה / רַע (rá'á / ra) — a diagnózis kiterjesztése: a gonoszság nem tettekben, hanem a szív minden gondolat-alkotásában				2026.09.11
HAMART-001	1Móz 6:7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (adamá) — "eltörlöm az embert a föld színéről": a következmény visszatér ahhoz a szóhoz, amellyel 3:17-ben elindult				2026.09.11
HAMART-001	1Móz 6:11	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	וַתִּשָּׁחֵת הָאָרֶץ (vattissáchét há'árec, Nif'ál) + וַתִּמָּלֵא הָאָרֶץ חָמָס — a föld megromlott és megtelt erőszakkal				2026.09.11
HAMART-001	1Móz 6:12	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	נִשְׁחָתָה (nishcháta, Nif'ál) + הִשְׁחִית כָּל־בָּשָׂר (hishchít kol-bászár, Hif'íl) — a romlás nem baleset: minden test aktívan megrontotta a maga útját				2026.09.11
HAMART-001	1Móz 6:13	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאָה הָאָרֶץ חָמָס + מַשְׁחִיתָם (mashchítám) — Isten ugyanazzal az igével felel, amellyel az ember vétkezett				2026.09.11
HAMART-001	1Móz 6:17	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	לְשַׁחֵת כָּל־בָּשָׂר (lesachét, Pi'él) — az özönvíz célja szó szerint ugyanaz az ige, mint a 6:12 emberi cselekvése				2026.09.11
HAMART-001	1Móz 8:21	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	לֹא אֹסִף לְקַלֵּל (ló oszíf lekallél) עוֹד אֶת־הָאֲדָמָה — lexikai finomság: az ígéret nem a 3:17 arar-t vonja vissza, hanem egy másik igét (קָלַל, kalal, H7043) tagad meg; az emberi szív állapotára adott indoklás (רַע) változatlan marad				2026.09.11
HAMART-001	1Móz 9:11	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	לְשַׁחֵת (lesachét, Pi'él) tagadva — a szövetség pontosan azt az igét zárja ki a jövőből, amellyel a 6:13,17 ítélet megtörtént				2026.09.11
HAMART-001	1Móz 9:15	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	לְשַׁחֵת (lesachét, Pi'él) tagadva — a szövetség pontosan azt az igét zárja ki a jövőből, amellyel a 6:13,17 ítélet megtörtént				2026.09.11
HAMART-001	1Móz 9:25	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר כְּנָעַן (árúr Kenáan) — az átok-lánc az özönvíz után azonnal újraindul, immár egy leszármazottra				2026.09.11
HAMART-001	1Móz 12:3	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	וּמְקַלֶּלְךָ אָאֹר ... וְנִבְרְכוּ בְךָ כֹּל מִשְׁפְּחֹת הָאֲדָמָה (umkalelkhá á'ór ... venivrekhú vekhá kol mispechót há'adamá) — a lánc megfordítása: ugyanaz az ige (arar) és ugyanaz a főnév (adamá), de most az áldás keretében				2026.09.11
HAMART-001	5Móz 27:15-26	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	Tizenkét egymást követő אָרוּר (árúr) — a genezisi kimondás-formula törvényi, liturgikus rendszerré szervezve				2026.09.11
HAMART-001	5Móz 28:16-19	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	Négy אָרוּר (árúr) a szövetségszegés következményeiként, a 28:3-6 négy בָּרוּךְ (bárúkh) tükörképeként				2026.09.11
HAMART-001	Jer 17:5	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר הַגֶּבֶר אֲשֶׁר יִבְטַח בָּאָדָם (árúr haggever aser jivtach bá'ádám) — a próféta az átok-formulát egyéni bizalmi döntésre alkalmazza				2026.09.11
HAMART-001	Zsolt 14:1	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	הִשְׁחִיתוּ (hishchítú) — pontosan a 1Móz 6:12 Hif'íl alakja, az emberiség egyetemes romlásának diagnózisaként				2026.09.11
HAMART-001	Zsolt 53:2	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	הִשְׁחִיתוּ (hishchítú) — pontosan a 1Móz 6:12 Hif'íl alakja, az emberiség egyetemes romlásának diagnózisaként				2026.09.11
HAMART-001	Ez 7:23	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאָה ... חָמָס (málá ... chámász) — a 1Móz 6:11,13 kollokáció (megtelni + erőszak) Jeruzsálemre alkalmazva				2026.09.11
HAMART-001	Ez 8:17	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאוּ אֶת־הָאָרֶץ חָמָס (málú et-há'árec chámász) — a legközelebbi ószövetségi párhuzam: ugyanaz az ige+tárgy szerkezet, mint 1Móz 6:11,13-ban, Júda házára				2026.09.11
HAMART-001	Ez 28:16	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאוּ תוֹכְךָ חָמָס (málú tókhekhá chámász) — a kollokáció Tírusz fejedelmére				2026.09.11
HAMART-001	Zsolt 74:20	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאוּ ... נְאוֹת חָמָס (málú ... ne'ót chámász) — a kollokáció panasz-imában				2026.09.11
HAMART-001	Mik 6:12	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מָלְאוּ חָמָס (málú chámász) — a kollokáció Izráel gazdagjaira				2026.09.11
HAMART-001	Sof 1:9	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	הַמְמַלְאִים ... חָמָס וּמִרְמָה (hamemal'ím ... chámász umirmá) — a kollokáció az úr házának megtöltésére				2026.09.11
HAMART-001	Hab 2:8	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מֵחֲמַס אָדָם (méchamasz ádám) — az erőszak visszatér elkövetőjére: a gyűrűzés mint megtorlási elv, explicit kimondva				2026.09.11
HAMART-001	Hab 2:17	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	מֵחֲמַס אָדָם (méchamasz ádám) — az erőszak visszatér elkövetőjére: a gyűrűzés mint megtorlási elv, explicit kimondva				2026.09.11
HAMART-001	Jón 3:8	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	וְיָשֻׁבוּ ... מִן־הֶחָמָס אֲשֶׁר בְּכַפֵּיהֶם (vejásúvú ... min-hechámász aser bekhappéhem) — az egyetlen hely, ahol egy nép a chámász-ból megtérve elkerüli a már kimondott pusztulást: a gyűrűzés megszakítható				2026.09.11
HAMART-001	Ézs 60:18	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	לֹא־יִשָּׁמַע עוֹד חָמָס בְּאַרְצֵךְ (ló-jissámá ód chámász be'arcékh) — eszkatológiai visszavonás: a chámász eltűnik a földről				2026.09.11
HAMART-001	Jer 6:7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	חָמָס וָשֹׁד יִשָּׁמַע בָּהּ (chámász vásód jissámá báh) — a "hallatszik az erőszak" kollokáció (H8085+H2555) Jeruzsálemre				2026.09.11
HAMART-001	Jer 51:46	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	חָמָס בָּאָרֶץ (chámász bá'árec) — "erőszakosság van a földön": a chámász + erec párosítás, Babilon összeomlásának előjeleként				2026.09.11
HAMART-001	Hab 1:2	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֶזְעַק אֵלֶיךָ חָמָס וְלֹא תוֹשִׁיעַ (ez'ak élekhá chámász veló tósía) — a megfordított irány: a chámász miatt kiáltó próféta panasza arról, hogy Isten nem hallja				2026.09.11
HAMART-001	Ézs 24:5-6	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	"A föld megfertőztetett lakosai alatt... ezért átok emészti meg a földet" — a föld/átok/lakosok hármas szerkezete azonos a 1Móz 3:17-tel, de más szóval: אָלָה (álá, H0423), nem arar ⇒ tematikus, nem lexikai				2026.09.11
HAMART-001	Hós 4:1-3	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	"Nincs igazság... azért gyászol a föld" — a lakosok bűne és a föld sorvadása közti okozati kapcsolat; chámász nélkül ⇒ tematikus, nem lexikai				2026.09.11
HAMART-001	Róm 8:20-22	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	ἡ κτίσις ... τῇ ματαιότητι ὑπετάγη (hé ktiszisz ... té mataiotéti hüpetagé), majd ἡ δουλεία τῆς φθορᾶς (hé dúleia tész fthorász) — a teremtett világ továbbra is a 1Móz 3:17 átok alatt áll, és a φθορά ugyanabból a φθείρω-szócsaládból való, amellyel a LXX a 1Móz 6:11-13 sáchat-ját fordítja				2026.09.11
HAMART-001	Gal 3:10	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	ἐπικατάρατος πᾶς ὃς οὐκ ἐμμένει (epikatáratosz pász hosz úk emmenei) — az 5Móz 27:26 idézete; a LXX ott ugyanazt a szót használja, amelyet a 1Móz 3:17-ben				2026.09.11
HAMART-001	Gal 3:13	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	γενόμενος ὑπὲρ ἡμῶν κατάρα (genomenosz hüper hémón katara) — Krisztus átokká lesz; Pál itt az 5Móz 21:23-at idézi, de nem a LXX κεκατηραμένος (kekatéraménosz, G2672) szavával, hanem ἐπικατάρατος-szal — vagyis a két idézetet (27:26 és 21:23) ugyanarra a szóra hangolja, amely a 1Móz 3:17 átok-szava is				2026.09.11
HAMART-001	Zsid 6:7-8	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	γῆ ... ἐκφέρουσα ἀκάνθας καὶ τριβόλους ... κατάρας ἐγγύς (gé ... ekferúsza akanthász kai tribolúsz ... katarász engüsz) — háromszavas lexikai egyezés a LXX 1Móz 3:17-18-cal: γῆ + ἄκανθα + τρίβολος, a κατάρα-szócsaláddal				2026.09.11
HAMART-001	Jel 11:18	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	διαφθεῖραι τοὺς διαφθείροντας τὴν γῆν (diaftheirai túsz diaftheirontász tén gén) — "elpusztítani azokat, akik a földet pusztítják": a 1Móz 6:12-13 szerkezete (ember megrontja → Isten megrontja) görögül, ugyanazzal az igével mindkét oldalon				2026.09.11
HAMART-001	Jel 19:2	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	ἥτις ἔφθειρεν τὴν γῆν ἐν τῇ πορνείᾳ αὐτῆς (hétisz eftheiren tén gén en té porneia autész) — "a mely a földet megrontotta az ő paráznaságával": ugyanaz az ige+tárgy szerkezet, mint a LXX 1Móz 6:11-ben (ἐφθάρη … ἡ γῆ)				2026.09.11
HAMART-001	Mt 15:19	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	"a szívből származnak a gonosz gondolatok" — a 1Móz 6:5 szív-diagnózisának újszövetségi megismétlése ⇒ tematikus, nem lexikai				2026.09.11
HAMART-001	Mk 7:21-23	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	"a szívből származnak a gonosz gondolatok" — a 1Móz 6:5 szív-diagnózisának újszövetségi megismétlése ⇒ tematikus, nem lexikai				2026.09.11
HAMART-001	2Pét 3:6-7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	az özönvíz-világ elpusztulása és a jelenlegi világ tűzre tartatása — a 1Móz 6:13 ítélet-logikájának eszkatológiai kiterjesztése ⇒ tematikus, nem lexikai				2026.09.11
ISTENTISZT-001	ApCsel 2:21	N16: a study kapcsolat-táblájából (Jóel 2:32 → ApCsel 2:21), retroaktív	beépítve	A study (Segitsegul_hivni_az_Urat_tematikus.md) kapcsolat-táblája szerint a Jóel 2:32 szó szerinti LXX-idézete (Beteljesedés); az F3.1 betöltés a Jóel 2:32 sorba vonta össze, önálló sorként nem töltötte be.	az Úrnak nevét segítségül hívja	tartalom-alapú	magas	2026.09.21
ISTENTISZT-001	Róm 10:13	N16: a study kapcsolat-táblájából (Jóel 2:32 → Róm 10:13), retroaktív	beépítve	A study (Segitsegul_hivni_az_Urat_tematikus.md) kapcsolat-táblája szerint a Jóel 2:32 szó szerinti LXX-idézete (Beteljesedés), a Róm 10:14 közvetlen előzménye; az F3.1 betöltés a Jóel 2:32 sorba vonta össze, önálló sorként nem töltötte be.	segítségül hívja az Úr nevét	tartalom-alapú	magas	2026.09.21
